epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
9.0,0.1867215207830898,0.5812449075331473,[0.         0.66792453 1.        ],[0.         0.48120301 1.        ],2,4,nd-laplace-optimal-truncated
9.0,0.15250390126259045,0.5778421433743663,[0.         0.56603774 1.        ],[0.         0.41353383 1.        ],3,4,nd-laplace-optimal-truncated
9.0,0.217023691303731,0.5875391975096707,[0.         0.72830189 1.        ],[0.        0.5112782 1.       ],4,4,nd-laplace-optimal-truncated
0.1,0.22746488863668607,0.6450935678864879,[0.         0.50566038 1.        ],[0.         0.27819549 1.        ],0,5,nd-laplace-optimal-truncated
0.1,0.12977727337210954,0.5711707225991162,[0.         0.52075472 1.        ],[0.         0.39097744 1.        ],1,5,nd-laplace-optimal-truncated
0.1,0.14454532557809618,0.5959073024718086,[0.        0.4490566 1.       ],[0.         0.30451128 1.        ],2,5,nd-laplace-optimal-truncated
0.1,0.2574123989218329,0.68762278978389,[0.         0.47169811 1.        ],[0.         0.21428571 1.        ],3,5,nd-laplace-optimal-truncated
0.1,0.17845084409136047,0.6178051658581356,[0.         0.46792453 1.        ],[0.         0.28947368 1.        ],4,5,nd-laplace-optimal-truncated
0.5,0.19355937012342178,0.624072457442165,[0.         0.48679245 1.        ],[0.         0.29323308 1.        ],0,5,nd-laplace-optimal-truncated
0.5,0.17120158887785503,0.5942694663167104,[0.         0.53962264 1.        ],[0.         0.36842105 1.        ],1,5,nd-laplace-optimal-truncated
0.5,0.22014470137608172,0.6227340314467399,[0.         0.55849057 1.        ],[0.         0.33834586 1.        ],2,5,nd-laplace-optimal-truncated
0.5,0.2240317775571003,0.6165770979743697,[0.         0.59245283 1.        ],[0.         0.36842105 1.        ],3,5,nd-laplace-optimal-truncated
0.5,0.20160306426443464,0.5958893942052064,[0.         0.62641509 1.        ],[0.         0.42481203 1.        ],4,5,nd-laplace-optimal-truncated
0.7,0.14899985813590577,0.5665817199802213,[0.         0.63396226 1.        ],[0.         0.48496241 1.        ],0,5,nd-laplace-optimal-truncated
0.7,0.09604199177188255,0.5481028847520251,[0.         0.54716981 1.        ],[0.         0.45112782 1.        ],1,5,nd-laplace-optimal-truncated
0.7,0.22801815860405727,0.605794926477364,[0.         0.65283019 1.        ],[0.         0.42481203 1.        ],2,5,nd-laplace-optimal-truncated
0.7,0.1751312242871329,0.588033944234472,[0.         0.58490566 1.        ],[0.         0.40977444 1.        ],3,5,nd-laplace-optimal-truncated
0.7,0.08480635551142007,0.5410813931114105,[0.         0.55849057 1.        ],[0.         0.47368421 1.        ],4,5,nd-laplace-optimal-truncated
1.0,0.24661654135338346,0.6293375394321766,[0.  0.6 1. ],[0.         0.35338346 1.        ],0,5,nd-laplace-optimal-truncated
1.0,0.14474393530997304,0.5842485095701286,[0.         0.50188679 1.        ],[0.         0.35714286 1.        ],1,5,nd-laplace-optimal-truncated
1.0,0.2996311533550858,0.6356850098289883,[0.         0.70188679 1.        ],[0.         0.40225564 1.        ],2,5,nd-laplace-optimal-truncated
1.0,0.2164987941551993,0.6126589006511051,[0.         0.58867925 1.        ],[0.         0.37218045 1.        ],3,5,nd-laplace-optimal-truncated
