,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
188,7.0,0.136,0.5469613259668509,0.136,[0.    0.792 1.   ],[0.    0.656 1.   ],8,3
189,7.0,-0.02400000000000002,0.4835164835164835,-0.02400000000000002,[0.    0.352 1.   ],[0.    0.376 1.   ],9,3
190,9.0,0.08000000000000007,0.5390625,0.08000000000000007,[0.    0.552 1.   ],[0.    0.472 1.   ],0,3
191,9.0,0.03999999999999998,0.5280898876404494,0.03999999999999998,[0.    0.376 1.   ],[0.    0.336 1.   ],1,3
192,9.0,0.10399999999999998,0.5460992907801419,0.10399999999999998,[0.    0.616 1.   ],[0.    0.512 1.   ],2,3
193,9.0,-0.008000000000000007,0.4966887417218543,-0.008000000000000007,[0.  0.6 1. ],[0.    0.608 1.   ],3,3
194,9.0,-0.02400000000000002,0.4896551724137931,-0.02400000000000002,[0.    0.568 1.   ],[0.    0.592 1.   ],4,3
195,9.0,0.0,0.5,0.0,[0.    0.632 1.   ],[0.    0.632 1.   ],5,3
196,9.0,0.040000000000000036,0.5193798449612403,0.040000000000000036,[0.    0.536 1.   ],[0.    0.496 1.   ],6,3
197,9.0,0.023999999999999966,0.5128205128205128,0.023999999999999966,[0.   0.48 1.  ],[0.    0.456 1.   ],7,3
198,9.0,0.055999999999999994,0.5304347826086957,0.055999999999999994,[0.    0.488 1.   ],[0.    0.432 1.   ],8,3
199,9.0,-0.008000000000000007,0.49635036496350365,-0.008000000000000007,[0.    0.544 1.   ],[0.    0.552 1.   ],9,3
