,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
183,3.5,0.624,0.7954545454545454,[0.   0.84 1.  ],[0.    0.216 1.   ],3,3
184,3.5,0.608,0.7794117647058822,[0.    0.848 1.   ],[0.   0.24 1.  ],4,3
185,3.5,0.7040000000000001,0.8142857142857143,[0.    0.912 1.   ],[0.    0.208 1.   ],5,3
186,3.5,0.712,0.8248175182481752,[0.    0.904 1.   ],[0.    0.192 1.   ],6,3
187,3.5,0.696,0.8175182481751825,[0.    0.896 1.   ],[0.  0.2 1. ],7,3
188,3.5,0.6639999999999999,0.8167938931297709,[0.    0.856 1.   ],[0.    0.192 1.   ],8,3
189,3.5,0.76,0.8368794326241135,[0.    0.944 1.   ],[0.    0.184 1.   ],9,3
190,5.0,0.752,0.826388888888889,[0.    0.952 1.   ],[0.  0.2 1. ],0,3
191,5.0,0.72,0.8214285714285714,[0.   0.92 1.  ],[0.  0.2 1. ],1,3
192,5.0,0.752,0.8560606060606061,[0.    0.904 1.   ],[0.    0.152 1.   ],2,3
193,5.0,0.728,0.8137931034482758,[0.    0.944 1.   ],[0.    0.216 1.   ],3,3
194,5.0,0.744,0.8661417322834646,[0.   0.88 1.  ],[0.    0.136 1.   ],4,3
195,5.0,0.792,0.8721804511278195,[0.    0.928 1.   ],[0.    0.136 1.   ],5,3
196,5.0,0.696,0.8536585365853658,[0.   0.84 1.  ],[0.    0.144 1.   ],6,3
197,5.0,0.728,0.837037037037037,[0.    0.904 1.   ],[0.    0.176 1.   ],7,3
198,5.0,0.6719999999999999,0.8134328358208954,[0.    0.872 1.   ],[0.  0.2 1. ],8,3
199,5.0,0.616,0.7851851851851851,[0.    0.848 1.   ],[0.    0.232 1.   ],9,3
200,7.0,0.768,0.8529411764705882,[0.    0.928 1.   ],[0.   0.16 1.  ],0,3
201,7.0,0.776,0.907563025210084,[0.    0.864 1.   ],[0.    0.088 1.   ],1,3
202,7.0,0.592,0.7642857142857142,[0.    0.856 1.   ],[0.    0.264 1.   ],2,3
