,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
77,3.5,0.7120000000000001,0.8111888111888111,[0.    0.928 1.   ],[0.    0.216 1.   ],7,2
78,3.5,0.576,0.7535211267605633,[0.    0.856 1.   ],[0.   0.28 1.  ],8,2
79,3.5,0.712,0.7986577181208053,[0.    0.952 1.   ],[0.   0.24 1.  ],9,2
80,5.0,0.712,0.7870967741935484,[0.    0.976 1.   ],[0.    0.264 1.   ],0,2
81,5.0,0.6719999999999999,0.7763157894736842,[0.    0.944 1.   ],[0.    0.272 1.   ],1,2
82,5.0,0.6240000000000001,0.7565789473684211,[0.   0.92 1.  ],[0.    0.296 1.   ],2,2
83,5.0,0.672,0.8043478260869564,[0.    0.888 1.   ],[0.    0.216 1.   ],3,2
84,5.0,0.6320000000000001,0.7548387096774194,[0.    0.936 1.   ],[0.    0.304 1.   ],4,2
85,5.0,0.664,0.7902097902097901,[0.    0.904 1.   ],[0.   0.24 1.  ],5,2
86,5.0,0.48000000000000004,0.676470588235294,[0.   0.92 1.  ],[0.   0.44 1.  ],6,2
87,5.0,0.7280000000000001,0.8181818181818181,[0.    0.936 1.   ],[0.    0.208 1.   ],7,2
88,5.0,0.5920000000000001,0.7312500000000001,[0.    0.936 1.   ],[0.    0.344 1.   ],8,2
89,5.0,0.648,0.7755102040816326,[0.    0.912 1.   ],[0.    0.264 1.   ],9,2
90,7.0,0.656,0.7808219178082191,[0.    0.912 1.   ],[0.    0.256 1.   ],0,2
91,7.0,0.776,0.8439716312056738,[0.    0.952 1.   ],[0.    0.176 1.   ],1,2
92,7.0,0.6719999999999999,0.7763157894736842,[0.    0.944 1.   ],[0.    0.272 1.   ],2,2
93,7.0,0.6160000000000001,0.7549668874172186,[0.    0.912 1.   ],[0.    0.296 1.   ],3,2
94,7.0,0.6320000000000001,0.758169934640523,[0.    0.928 1.   ],[0.    0.296 1.   ],4,2
95,7.0,0.712,0.7908496732026143,[0.    0.968 1.   ],[0.    0.256 1.   ],5,2
96,7.0,0.688,0.7756410256410257,[0.    0.968 1.   ],[0.   0.28 1.  ],6,2
97,7.0,0.5840000000000001,0.7417218543046358,[0.    0.896 1.   ],[0.    0.312 1.   ],7,2
98,7.0,0.704,0.7857142857142857,[0.    0.968 1.   ],[0.    0.264 1.   ],8,2
99,7.0,0.64,0.7702702702702702,[0.    0.912 1.   ],[0.    0.272 1.   ],9,2
100,9.0,0.6480000000000001,0.7647058823529412,[0.    0.936 1.   ],[0.    0.288 1.   ],0,2
101,9.0,0.6239999999999999,0.7437499999999999,[0.    0.952 1.   ],[0.    0.328 1.   ],1,2
102,9.0,0.648,0.7718120805369126,[0.   0.92 1.  ],[0.    0.272 1.   ],2,2
103,9.0,0.6080000000000001,0.7405063291139241,[0.    0.936 1.   ],[0.    0.328 1.   ],3,2
104,9.0,0.656,0.769736842105263,[0.    0.936 1.   ],[0.   0.28 1.  ],4,2
105,9.0,0.6719999999999999,0.7763157894736842,[0.    0.944 1.   ],[0.    0.272 1.   ],5,2
106,9.0,0.6960000000000001,0.8129496402877697,[0.    0.904 1.   ],[0.    0.208 1.   ],6,2
107,9.0,0.744,0.8206896551724138,[0.    0.952 1.   ],[0.    0.208 1.   ],7,2
108,9.0,0.6399999999999999,0.7531645569620252,[0.    0.952 1.   ],[0.    0.312 1.   ],8,2
109,9.0,0.632,0.7651006711409395,[0.    0.912 1.   ],[0.   0.28 1.  ],9,2
110,0.5,0.6639999999999999,0.7712418300653594,[0.    0.944 1.   ],[0.   0.28 1.  ],0,3
111,0.5,0.76,0.8231292517006803,[0.    0.968 1.   ],[0.    0.208 1.   ],1,3
112,0.5,0.6000000000000001,0.7358490566037736,[0.    0.936 1.   ],[0.    0.336 1.   ],2,3
113,0.5,0.784,0.8450704225352114,[0.   0.96 1.  ],[0.    0.176 1.   ],3,3
114,0.5,0.776,0.8299319727891157,[0.    0.976 1.   ],[0.  0.2 1. ],4,3
115,0.5,0.792,0.8837209302325582,[0.    0.912 1.   ],[0.   0.12 1.  ],5,3
116,0.5,0.7120000000000001,0.8068965517241379,[0.    0.936 1.   ],[0.    0.224 1.   ],6,3
117,0.5,0.8,0.8787878787878788,[0.    0.928 1.   ],[0.    0.128 1.   ],7,3
118,0.5,0.888,0.9302325581395349,[0.   0.96 1.  ],[0.    0.072 1.   ],8,3
119,0.5,0.8160000000000001,0.8923076923076924,[0.    0.928 1.   ],[0.    0.112 1.   ],9,3
120,0.7,0.7999999999999999,0.8676470588235294,[0.    0.944 1.   ],[0.    0.144 1.   ],0,3
121,0.7,0.704,0.8188405797101449,[0.    0.904 1.   ],[0.  0.2 1. ],1,3
122,0.7,0.68,0.8057553956834532,[0.    0.896 1.   ],[0.    0.216 1.   ],2,3
123,0.7,0.832,0.8823529411764705,[0.   0.96 1.  ],[0.    0.128 1.   ],3,3
124,0.7,0.848,0.9491525423728813,[0.    0.896 1.   ],[0.    0.048 1.   ],4,3
125,0.7,0.816,0.8749999999999999,[0.    0.952 1.   ],[0.    0.136 1.   ],5,3
126,0.7,0.7999999999999999,0.8521126760563381,[0.    0.968 1.   ],[0.    0.168 1.   ],6,3
127,0.7,0.6880000000000001,0.798611111111111,[0.   0.92 1.  ],[0.    0.232 1.   ],7,3
128,0.7,0.728,0.8137931034482758,[0.    0.944 1.   ],[0.    0.216 1.   ],8,3
129,0.7,0.672,0.7916666666666666,[0.    0.912 1.   ],[0.   0.24 1.  ],9,3
130,1.0,0.76,0.8467153284671532,[0.    0.928 1.   ],[0.    0.168 1.   ],0,3
131,1.0,0.776,0.8540145985401459,[0.    0.936 1.   ],[0.   0.16 1.  ],1,3
132,1.0,0.752,0.8175675675675675,[0.    0.968 1.   ],[0.    0.216 1.   ],2,3
133,1.0,0.744,0.8120805369127517,[0.    0.968 1.   ],[0.    0.224 1.   ],3,3
134,1.0,0.6559999999999999,0.7594936708860759,[0.   0.96 1.  ],[0.    0.304 1.   ],4,3
135,1.0,0.76,0.8368794326241135,[0.    0.944 1.   ],[0.    0.184 1.   ],5,3
136,1.0,0.6960000000000001,0.8129496402877697,[0.    0.904 1.   ],[0.    0.208 1.   ],6,3
137,1.0,0.6559999999999999,0.7662337662337662,[0.    0.944 1.   ],[0.    0.288 1.   ],7,3
138,1.0,0.752,0.8455882352941176,[0.   0.92 1.  ],[0.    0.168 1.   ],8,3
139,1.0,0.856,0.9083969465648855,[0.    0.952 1.   ],[0.    0.096 1.   ],9,3
140,1.5,0.7999999999999999,0.8571428571428572,[0.   0.96 1.  ],[0.   0.16 1.  ],0,3
141,1.5,0.88,0.9104477611940298,[0.    0.976 1.   ],[0.    0.096 1.   ],1,3
142,1.5,0.704,0.8235294117647058,[0.    0.896 1.   ],[0.    0.192 1.   ],2,3
143,1.5,0.824,0.8652482269503546,[0.    0.976 1.   ],[0.    0.152 1.   ],3,3
144,1.5,0.808,0.8914728682170543,[0.   0.92 1.  ],[0.    0.112 1.   ],4,3
145,1.5,0.736,0.8432835820895522,[0.    0.904 1.   ],[0.    0.168 1.   ],5,3
146,1.5,0.6719999999999999,0.7727272727272727,[0.    0.952 1.   ],[0.   0.28 1.  ],6,3
147,1.5,0.784,0.8656716417910447,[0.    0.928 1.   ],[0.    0.144 1.   ],7,3
148,1.5,0.72,0.7922077922077922,[0.    0.976 1.   ],[0.    0.256 1.   ],8,3
149,1.5,0.736,0.8333333333333333,[0.   0.92 1.  ],[0.    0.184 1.   ],9,3
150,2.0,0.744,0.8251748251748252,[0.    0.944 1.   ],[0.  0.2 1. ],0,3
151,2.0,0.8240000000000001,0.8992248062015504,[0.    0.928 1.   ],[0.    0.104 1.   ],1,3
152,2.0,0.8320000000000001,0.9193548387096775,[0.    0.912 1.   ],[0.   0.08 1.  ],2,3
153,2.0,0.8400000000000001,0.9069767441860466,[0.    0.936 1.   ],[0.    0.096 1.   ],3,3
154,2.0,0.76,0.8231292517006803,[0.    0.968 1.   ],[0.    0.208 1.   ],4,3
155,2.0,0.7200000000000001,0.8125,[0.    0.936 1.   ],[0.    0.216 1.   ],5,3
156,2.0,0.856,0.9022556390977443,[0.   0.96 1.  ],[0.    0.104 1.   ],6,3
157,2.0,0.728,0.8013245033112583,[0.    0.968 1.   ],[0.   0.24 1.  ],7,3
158,2.0,0.8480000000000001,0.9140625,[0.    0.936 1.   ],[0.    0.088 1.   ],8,3
159,2.0,0.752,0.8219178082191781,[0.   0.96 1.  ],[0.    0.208 1.   ],9,3
160,2.5,0.736,0.8382352941176471,[0.    0.912 1.   ],[0.    0.176 1.   ],0,3
161,2.5,0.76,0.8275862068965517,[0.   0.96 1.  ],[0.  0.2 1. ],1,3
162,2.5,0.776,0.8592592592592593,[0.    0.928 1.   ],[0.    0.152 1.   ],2,3
163,2.5,0.8160000000000001,0.9180327868852459,[0.    0.896 1.   ],[0.   0.08 1.  ],3,3
