epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
3.0,0.0384615384615385,0.5161290322580645,[0.         0.61538462 1.        ],[0.         0.57692308 1.        ],5,2,nd-laplace-optimal-truncated
3.0,-0.1153846153846153,0.4571428571428571,[0.         0.61538462 1.        ],[0.         0.73076923 1.        ],6,2,nd-laplace-optimal-truncated
3.0,0.2307692307692308,0.5833333333333334,[0.         0.80769231 1.        ],[0.         0.57692308 1.        ],7,2,nd-laplace-optimal-truncated
3.0,0.2692307692307693,0.5945945945945946,[0.         0.84615385 1.        ],[0.         0.57692308 1.        ],8,2,nd-laplace-optimal-truncated
3.0,0.2692307692307692,0.6296296296296295,[0.         0.65384615 1.        ],[0.         0.38461538 1.        ],9,2,nd-laplace-optimal-truncated
3.5,0.2692307692307691,0.5897435897435898,[0.         0.88461538 1.        ],[0.         0.61538462 1.        ],0,2,nd-laplace-optimal-truncated
3.5,0.3076923076923077,0.6,[0.         0.92307692 1.        ],[0.         0.61538462 1.        ],1,2,nd-laplace-optimal-truncated
3.5,0.1153846153846153,0.5555555555555556,[0.         0.57692308 1.        ],[0.         0.46153846 1.        ],2,2,nd-laplace-optimal-truncated
3.5,0.0384615384615384,0.5121951219512195,[0.         0.80769231 1.        ],[0.         0.76923077 1.        ],3,2,nd-laplace-optimal-truncated
3.5,0.1153846153846153,0.5555555555555556,[0.         0.57692308 1.        ],[0.         0.46153846 1.        ],4,2,nd-laplace-optimal-truncated
3.5,0.2692307692307691,0.6521739130434783,[0.         0.57692308 1.        ],[0.         0.30769231 1.        ],5,2,nd-laplace-optimal-truncated
3.5,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],6,2,nd-laplace-optimal-truncated
3.5,0.1153846153846154,0.5483870967741936,[0.         0.65384615 1.        ],[0.         0.53846154 1.        ],7,2,nd-laplace-optimal-truncated
3.5,0.1153846153846154,0.5714285714285714,[0.         0.46153846 1.        ],[0.         0.34615385 1.        ],8,2,nd-laplace-optimal-truncated
3.5,0.1153846153846154,0.5405405405405406,[0.         0.76923077 1.        ],[0.         0.65384615 1.        ],9,2,nd-laplace-optimal-truncated
5.0,0.1538461538461538,0.5434782608695653,[0.         0.96153846 1.        ],[0.         0.80769231 1.        ],0,2,nd-laplace-optimal-truncated
5.0,0.1153846153846154,0.5714285714285714,[0.         0.46153846 1.        ],[0.         0.34615385 1.        ],1,2,nd-laplace-optimal-truncated
5.0,-0.0384615384615385,0.4838709677419354,[0.         0.57692308 1.        ],[0.         0.61538462 1.        ],2,2,nd-laplace-optimal-truncated
5.0,0.1923076923076923,0.5757575757575758,[0.         0.73076923 1.        ],[0.         0.53846154 1.        ],3,2,nd-laplace-optimal-truncated
5.0,0.0384615384615384,0.5135135135135136,[0.         0.73076923 1.        ],[0.         0.69230769 1.        ],4,2,nd-laplace-optimal-truncated
5.0,0.1153846153846153,0.5652173913043479,[0.  0.5 1. ],[0.         0.38461538 1.        ],5,2,nd-laplace-optimal-truncated
5.0,0.0384615384615384,0.5185185185185186,[0.         0.53846154 1.        ],[0.  0.5 1. ],6,2,nd-laplace-optimal-truncated
5.0,0.1923076923076923,0.5862068965517241,[0.         0.65384615 1.        ],[0.         0.46153846 1.        ],7,2,nd-laplace-optimal-truncated
5.0,0.1538461538461538,0.5555555555555556,[0.         0.76923077 1.        ],[0.         0.61538462 1.        ],8,2,nd-laplace-optimal-truncated
5.0,0.0769230769230768,0.5227272727272727,[0.         0.88461538 1.        ],[0.         0.80769231 1.        ],9,2,nd-laplace-optimal-truncated
7.0,0.1538461538461538,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],0,2,nd-laplace-optimal-truncated
7.0,0.3076923076923077,0.6111111111111112,[0.         0.84615385 1.        ],[0.         0.53846154 1.        ],1,2,nd-laplace-optimal-truncated
7.0,0.0769230769230768,0.5277777777777778,[0.         0.73076923 1.        ],[0.         0.65384615 1.        ],2,2,nd-laplace-optimal-truncated
7.0,0.1538461538461538,0.5833333333333333,[0.         0.53846154 1.        ],[0.         0.38461538 1.        ],3,2,nd-laplace-optimal-truncated
