,type,epsilon,ari,ami,ch,sc
40,Laplace,0.1,0.047065890788475694,0.06832296499667581,27.128474309363668,0.32377034580177205
41,Laplace,0.1,0.04951081072254484,0.05893070851754824,26.74341943913605,0.33082590309231386
42,Laplace,0.1,0.04309841826760867,0.06249501121577268,27.084984329717628,0.32556399854127577
43,Laplace,0.1,0.04731179476127441,0.059233224122636784,26.973355960844014,0.3115117629799972
44,Laplace,0.5,0.2022814254933917,0.25278345693509474,36.40093988803947,0.37369456153612685
45,Laplace,0.5,0.18450652979761012,0.23935283851906428,36.695158895379464,0.3865694977996451
46,Laplace,0.5,0.18582120533095997,0.24073442919674304,36.5804401626818,0.3863700240168266
47,Laplace,0.5,0.19129284652670275,0.23638012655915563,36.806456775992,0.3907018997061063
48,Laplace,1.0,0.6214105014980725,0.6383397143167343,74.63593264975407,0.4950910807554715
49,Laplace,1.0,0.6214105014980725,0.6383397143167342,74.63593264975407,0.4950910807554715
50,Laplace,1.0,0.6214105014980725,0.6383397143167342,74.63593264975407,0.4950910807554715
51,Laplace,1.0,0.6214105014980725,0.6383397143167342,74.63593264975407,0.4950910807554715
52,Laplace,2.0,0.9450992725608943,0.9449768985918536,112.72192267054281,0.5590658697436248
53,Laplace,2.0,0.9455265030238349,0.9451110751095871,112.88975973759526,0.5605532212649043
54,Laplace,2.0,0.9342045731656613,0.9339991136137712,112.86134380297736,0.5597669113961673
55,Laplace,2.0,0.9111334829863738,0.9116410141044055,112.6366748666891,0.556706940137414
56,Laplace,3.0,1.0,1.0,106.62051890725425,0.5830789652634377
57,Laplace,3.0,1.0,1.0,106.62051890725425,0.5830789652634377
58,Laplace,3.0,1.0,1.0,106.62051890725425,0.5830789652634377
59,Laplace,3.0,1.0,1.0,106.62051890725425,0.5830789652634377
60,Laplace,5.0,0.9455265030238349,0.9451110751095871,144.31771816465562,0.6233347712361437
61,Laplace,5.0,0.9455265030238349,0.9451110751095874,144.31771816465562,0.6233347712361437
62,Laplace,5.0,0.9455265030238349,0.9451110751095871,144.31771816465562,0.6233347712361437
63,Laplace,5.0,0.9455265030238349,0.9451110751095874,144.31771816465562,0.6233347712361437
64,Laplace,7.0,1.0,1.0,160.2012316576477,0.6452313701924836
65,Laplace,7.0,1.0,0.9999999999999998,160.2012316576477,0.6452313701924836
66,Laplace,7.0,1.0,1.0,160.20123165764772,0.6452313701924836
67,Laplace,7.0,1.0,1.0,160.2012316576477,0.6452313701924836
68,Laplace,9.0,1.0,1.0,176.06424515820095,0.6591504627767317
69,Laplace,9.0,1.0,1.0,176.06424515820095,0.6591504627767317
70,Laplace,9.0,1.0,1.0,176.06424515820095,0.6591504627767317
71,Laplace,9.0,1.0,1.0,176.06424515820095,0.6591504627767317
72,Pairwise,0.05,-0.018820792527480704,-0.025225799391971403,45.45254801746647,0.40698022073588175
73,Pairwise,0.05,-0.010300224992550545,-0.009260313384373171,45.10488616076096,0.4218811526538563
74,Pairwise,0.05,-0.009171233554831414,-0.004892934048941001,45.177114194014095,0.42448835791511674
75,Pairwise,0.05,-0.012372545730495035,-0.014782411014901641,45.52703484154263,0.4192300370805172
76,Pairwise,0.1,-0.0035554746786162343,0.00526442640640438,42.04732313042838,0.376348139421102
77,Pairwise,0.1,-0.009355887080152133,-0.0004825513830829076,41.81098123000827,0.36913755848478325
78,Pairwise,0.1,-0.006063577534980952,0.00528737010311967,41.908929639219984,0.37659857958661047
79,Pairwise,0.1,-0.011070746883846813,-0.0012093173904704005,42.10929777952629,0.3746369093310598
80,Pairwise,0.5,-0.0010098370373133397,-0.004018614011770939,53.511295096434154,0.44236428071961653
81,Pairwise,0.5,0.0026090480774102033,2.587360276950176e-05,53.528098131241315,0.44796518306700994
82,Pairwise,0.5,0.0008802145580570049,-0.0021091056915586424,53.51165132196443,0.4461234932427704
83,Pairwise,0.5,-0.0014482741999678268,-0.004645314355464052,53.466795238739564,0.4430847377454847
84,Pairwise,1.0,0.0889198524044975,0.11501028367061113,43.51921433532318,0.40838435313656307
85,Pairwise,1.0,0.10087826975787106,0.12475385608393239,44.91863472459327,0.42177412948338705
86,Pairwise,1.0,0.09471082384417474,0.1194667910781334,44.54985044896373,0.41785945835380145
87,Pairwise,1.0,0.10127012484628059,0.12511136537649278,44.797730496849596,0.42068181903039353
88,Pairwise,2.0,0.15243245519540535,0.17307928285639548,46.77886350244745,0.41451737445995357
89,Pairwise,2.0,0.15088976271779417,0.1709817623186591,47.75376564240328,0.4152361214085814
90,Pairwise,2.0,0.1489241210561016,0.16704453732951244,47.66399435061646,0.41592561185981863
91,Pairwise,2.0,0.15624692509812355,0.18000119998022368,47.77280685004885,0.4143285876754166
92,Pairwise,3.0,0.27460065540387485,0.25579252747834547,59.06264905954581,0.419827950355638
93,Pairwise,3.0,0.2719521463578486,0.25330870114559195,59.08501052929789,0.41974396497425487
94,Pairwise,3.0,0.266655128265796,0.2483410484800849,59.12973346880206,0.41957599421148856
95,Pairwise,3.0,0.266655128265796,0.2483410484800849,59.12973346880206,0.41957599421148856
96,Pairwise,5.0,0.5926037717728772,0.6696057203249981,48.345413021862306,0.5371468805366119
97,Pairwise,5.0,0.6332632490456559,0.6883830947930729,48.06358231786023,0.5455478813368576
98,Pairwise,5.0,0.6332632490456559,0.6883830947930728,48.06358231786024,0.5455478813368577
99,Pairwise,5.0,0.66687233248678,0.7009184843264669,45.941526020730166,0.5489388270569513
100,Pairwise,7.0,0.6585535420075728,0.7397975419816853,82.06740251915306,0.5904091362856362
101,Pairwise,7.0,0.6134312304939522,0.7157802418815509,84.85594740316817,0.5942391347189049
102,Pairwise,7.0,0.6134312304939522,0.7157802418815509,84.85594740316817,0.5942391347189049
103,Pairwise,7.0,0.6134312304939522,0.7157802418815509,84.85594740316817,0.5942391347189049
104,Pairwise,9.0,1.0,1.0,174.17282484783087,0.6581943103054512
105,Pairwise,9.0,1.0,1.0,174.17282484783087,0.6581943103054512
106,Pairwise,9.0,1.0,1.0,174.17282484783087,0.6581943103054512
107,Pairwise,9.0,1.0,1.0,174.17282484783087,0.6581943103054512
108,2DLaplace,0.05,0.004945937652304193,-0.0029729569107739143,56.332590738680345,0.45605816639027735
109,2DLaplace,0.05,0.004945937652304193,-0.0029729569107739247,56.33259073868034,0.45605816639027735
110,2DLaplace,0.05,0.004945937652304193,-0.002972956910773901,56.332590738680345,0.45605816639027735
111,2DLaplace,0.05,0.004945937652304193,-0.00297295691077391,56.332590738680345,0.45605816639027735
112,2DLaplace,0.1,-0.01150934280830645,-0.018852439514982732,53.05110092393888,0.44351375316459646
113,2DLaplace,0.1,-0.0160360369371912,-0.024412618597692053,52.895391360656234,0.43834583579209563
114,2DLaplace,0.1,-0.021695592468090906,-0.030752393873183896,52.995212191339576,0.4344372077646549
115,2DLaplace,0.1,-0.015782622778116553,-0.023376355788437705,53.05450857771548,0.4382954265002474
116,2DLaplace,0.5,0.20329034999709675,0.22323373085709353,40.58326404934726,0.38238122346498277
117,2DLaplace,0.5,0.18786252658621913,0.21233984177852863,40.76713633123817,0.37842526506797364
118,2DLaplace,0.5,0.1839714183541376,0.20880048360709655,40.57099405389698,0.3762590573123573
119,2DLaplace,0.5,0.1695521843067065,0.19067748240942714,40.70978328276104,0.36996858719606224
120,2DLaplace,1.0,0.6638315741393885,0.6485302039333336,68.47930085754297,0.4884870392677455
121,2DLaplace,1.0,0.6638315741393885,0.6485302039333336,68.47930085754297,0.4884870392677455
122,2DLaplace,1.0,0.6638315741393885,0.6485302039333336,68.47930085754298,0.4884870392677455
123,2DLaplace,1.0,0.6638315741393885,0.6485302039333336,68.47930085754298,0.4884870392677455
124,2DLaplace,2.0,0.7438286626903126,0.7300293595454601,88.44904175952955,0.5230068709086819
125,2DLaplace,2.0,0.7438286626903126,0.7300293595454599,88.44904175952955,0.5230068709086819
126,2DLaplace,2.0,0.7438286626903126,0.7300293595454599,88.44904175952955,0.5230068709086819
127,2DLaplace,2.0,0.7438286626903126,0.7300293595454599,88.44904175952955,0.5230068709086819
128,2DLaplace,3.0,0.8186569254075738,0.8143129755923507,88.71738042858229,0.5336028890645287
129,2DLaplace,3.0,0.8186569254075738,0.8143129755923507,88.71738042858229,0.5336028890645287
130,2DLaplace,3.0,0.8369715901739341,0.8351601638556636,88.88027169351386,0.5363026925251035
131,2DLaplace,3.0,0.8369715901739341,0.8351601638556634,88.88027169351386,0.5363026925251035
132,2DLaplace,5.0,0.8913143934492893,0.8901234860331346,133.57394876125122,0.6060397857749739
133,2DLaplace,5.0,0.8913143934492893,0.8901234860331346,133.57394876125124,0.6060397857749739
134,2DLaplace,5.0,0.8913143934492893,0.8901234860331346,133.57394876125124,0.6060397857749739
135,2DLaplace,5.0,0.8913143934492893,0.8901234860331348,133.57394876125124,0.6060397857749739
136,2DLaplace,7.0,0.9455265030238349,0.9451110751095874,162.40556075321297,0.6423181524000721
137,2DLaplace,7.0,0.9455265030238349,0.9451110751095874,162.40556075321297,0.6423181524000721
138,2DLaplace,7.0,0.9455265030238349,0.9451110751095871,162.40556075321297,0.6423181524000721
139,2DLaplace,7.0,0.9455265030238349,0.9451110751095871,162.40556075321297,0.6423181524000721
140,2DLaplace,9.0,1.0,1.0,178.9851595548833,0.6583451844607314
141,2DLaplace,9.0,1.0,1.0,178.9851595548833,0.6583451844607314
142,2DLaplace,9.0,1.0,1.0,178.9851595548833,0.6583451844607314
143,2DLaplace,9.0,1.0,1.0,178.9851595548833,0.6583451844607314
